go_id	description
GO:0043043	peptide biosynthetic process
GO:0003712	transcription cofactor activity
GO:0003711	transcription elongation regulator activity
GO:0009071	serine family amino acid catabolic process
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation
GO:0006383	transcription from RNA polymerase III promoter
GO:0006767	water-soluble vitamin metabolic process
GO:0006766	vitamin metabolic process
GO:0006760	folic acid-containing compound metabolic process
GO:0060255	regulation of macromolecule metabolic process
GO:0006768	biotin metabolic process
GO:0006438	valyl-tRNA aminoacylation
GO:0005498	sterol binding
GO:0072329	monocarboxylic acid catabolic process
GO:0030041	actin filament polymerization
GO:0042579	microbody
GO:0006163	purine nucleotide metabolic process
GO:0051861	glycolipid binding
GO:0043138	3'-5' DNA helicase activity
GO:0046474	glycerophospholipid biosynthetic process
GO:0051716	cellular response to stimulus
GO:0006613	cotranslational protein targeting to membrane
GO:0006612	protein targeting to membrane
GO:0015631	tubulin binding
GO:0000151	ubiquitin ligase complex
GO:0004832	valine-tRNA ligase activity
GO:0004835	tubulin-tyrosine ligase activity
GO:0004834	tryptophan synthase activity
GO:0004549	tRNA-specific ribonuclease activity
GO:0030604	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity
GO:0004540	ribonuclease activity
GO:0033559	unsaturated fatty acid metabolic process
GO:0051130	positive regulation of cellular component organization
GO:0043169	cation binding
GO:0005230	extracellular ligand-gated ion channel activity
GO:0005231	excitatory extracellular ligand-gated ion channel activity
GO:0005234	extracellular-glutamate-gated ion channel activity
GO:0045040	protein import into mitochondrial outer membrane
GO:0004725	protein tyrosine phosphatase activity
GO:0004722	protein serine/threonine phosphatase activity
GO:0045047	protein targeting to ER
GO:0046173	polyol biosynthetic process
GO:0004055	argininosuccinate synthase activity
GO:0004057	arginyltransferase activity
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c
GO:0044248	cellular catabolic process
GO:0044249	cellular biosynthetic process
GO:0008703	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GO:0009129	pyrimidine nucleoside monophosphate metabolic process
GO:0023052	signaling
GO:0023051	regulation of signaling
GO:0009123	nucleoside monophosphate metabolic process
GO:0044242	cellular lipid catabolic process
GO:0042375	quinone cofactor metabolic process
GO:0009126	purine nucleoside monophosphate metabolic process
GO:0009127	purine nucleoside monophosphate biosynthetic process
GO:0009124	nucleoside monophosphate biosynthetic process
GO:0000723	telomere maintenance
GO:0016725	oxidoreductase activity, acting on CH or CH2 groups
GO:0000726	non-recombinational repair
GO:0009496	plastoquinol-plastocyanin reductase activity
GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity
GO:0004611	phosphoenolpyruvate carboxykinase activity
GO:0022618	ribonucleoprotein complex assembly
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
GO:0004615	phosphomannomutase activity
GO:0022613	ribonucleoprotein complex biogenesis
GO:0004619	phosphoglycerate mutase activity
GO:0022610	biological adhesion
GO:0008380	RNA splicing
GO:0007015	actin filament organization
GO:0003933	GTP cyclohydrolase activity
GO:0052689	carboxylic ester hydrolase activity
GO:0044106	cellular amine metabolic process
GO:0007010	cytoskeleton organization
GO:0045454	cell redox homeostasis
GO:0050308	sugar-phosphatase activity
GO:0043604	amide biosynthetic process
GO:0043603	cellular amide metabolic process
GO:0009725	response to hormone stimulus
GO:0015205	nucleobase transmembrane transporter activity
GO:0050307	sucrose-phosphate phosphatase activity
GO:0010628	positive regulation of gene expression
GO:0019203	carbohydrate phosphatase activity
GO:0019200	carbohydrate kinase activity
GO:0019201	nucleotide kinase activity
GO:0019206	nucleoside kinase activity
GO:0019207	kinase regulator activity
GO:0019205	nucleobase, nucleoside, nucleotide kinase activity
GO:0019208	phosphatase regulator activity
GO:0019751	polyol metabolic process
GO:0019752	carboxylic acid metabolic process
GO:0051028	mRNA transport
GO:0016649	oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor
GO:0016641	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0019682	glyceraldehyde-3-phosphate metabolic process
GO:0016646	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0016645	oxidoreductase activity, acting on the CH-NH group of donors
GO:0006721	terpenoid metabolic process
GO:0019370	leukotriene biosynthetic process
GO:0047746	chlorophyllase activity
GO:0007155	cell adhesion
GO:0007154	cell communication
GO:0004143	diacylglycerol kinase activity
GO:0043450	alkene biosynthetic process
GO:0046914	transition metal ion binding
GO:0016429	tRNA (adenine-N1-)-methyltransferase activity
GO:0016426	tRNA (adenine) methyltransferase activity
GO:0046915	transition metal ion transmembrane transporter activity
GO:0016423	tRNA (guanine) methyltransferase activity
GO:0016421	CoA carboxylase activity
GO:0001932	regulation of protein phosphorylation
